parametername	parametervalue	parameterxposition	parameteryposition
tempo	40.239437	1477.110107	937.223877
track1volume1	0.321909	853.256714	590.389771
track1volume2	0.484664	1755.209839	867.114929
track1volume3	0.287671	1138.958008	50.731468
track1volume4	0.009156	313.429688	101.597397
track1volume5	0.439863	1640.543457	233.671494
track1volume6	0.000000	1482.314209	1016.691650
track1volume7	0.507859	268.112732	247.496262
track1volume8	0.605945	68.484329	623.096375
track2volume1	0.758538	17.086155	224.509735
track2volume2	0.229391	1229.767334	256.296814
track2volume3	0.401074	553.872559	567.534607
track2volume4	0.269841	791.157898	137.193695
track2volume5	0.349803	1646.098389	609.370117
track2volume6	0.842647	1265.786987	491.908875
track2volume7	0.942320	294.191895	351.789490
track2volume8	0.623310	1848.358032	252.586136
delay_wetlevel	0.800000	785.427490	877.885742
delay_drylevel	0.800000	1240.584961	1039.481201
delay_feedback	0.216374	366.699005	647.757629
delay_right	0.550000	1393.902344	990.322754
delay_left	1.862385	413.653198	488.329559
